EraID,EraNarrative,EventID,EventNarrative,EventTag,OptionID,OptionText,OptionTag,PositiveOutcomeText,NegativeOutcomeText,PositivePS_Change,NegativePS_Change,PositiveStable_Change,NegativeStable_Change
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O1,held a Great Fire Gathering where all the clans of <CityName> voiced their beliefs. ,Unique,"At the Great Fire Gathering, each clan shares its stories and sacred songs. Differences soften as the tribe recognises the shared roots beneath their customs. Warmth replaces tension.","The gathering erupts into shouting as long‑held grudges surface. Clans storm away from the fire, and the unity meant to be restored fractures even deeper.",+9,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O2,"asked the shamans to conduct a spirit‑walk, seeking guidance from the all-fathers of <CityName>.",Unique,"The shamans return with visions of clan totems walking side by side. Their message of harmony reassures the people, restoring faith that the ancestors favour unity over discord.","The shamans deliver conflicting visions, each claiming a different clan is favoured. Suspicion spreads rapidly, and spiritual uncertainty deepens the divide.",+10,-9,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O3,permitted each clan to freely embrace its customs without interference.,Unique,"Allowed to express their identity openly, clans celebrate their songs, carvings, and rites. Curiosity replaces jealousy as traditions flourish peacefully in parallel.","The clans drift further apart, their symbols and customs becoming walls rather than bridges. Soon, families refuse to share hunts or communal meals.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O4,"conducted a symbolic hunt requiring warriors from all clans to cooperate, in an effort to re-unite the clans.",Unique,"The unified hunting band triumphs, returning with abundant game. The shared victory becomes a legend retold around fires, renewing trust among rival clans.",The hunt ends in chaos as miscommunication causes injury and lost prey. The failure becomes a symbol of the tribe’s fractured spirit.,+11,-10,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O5,gave the youth of the different clans to form a cross‑clan learning circle.,Unique,"Young hunters and gatherers learn each other’s skills, forming friendships that cut across clan boundaries. Their unity inspires cautious optimism among the elders.","Elders interpret the circle as a threat to tradition and forbid participation. The youth grow resentful, widening the generational rift.",+7,-6,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O1,hosted a Festival of Plenty to celebrate and share the abundance.,Unique,"The tribe feasts joyfully, exchanging goods and stories under torchlit skies. The celebration turns prosperity into unity, leaving clans hopeful for the future.","The festival grows excessive, and accusations arise that some clans contributed less or took more. What should have united instead stirs envy and bitterness.",+10,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O2,tasked artisans to craft plenty of intricate tools and ornaments from the surplus.,Unique,Stonecutters and carvers create works of beauty and precision. Their craftsmanship elevates the tribe’s identity and inspires pride across all clans.,"Artisans waste rare resources chasing unproven designs. Disputes erupt over ownership of the items, and the boom begins to feel mismanaged.",+11,-9,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O3,established a trading circle with neighbouring tribes.,Unique,"Trade brings new dyes, hides, tools, and stories into the settlement. Diplomacy strengthens as your tribe becomes a valued partner in regional exchange.","Rival tribes attempt to take advantage of the boom, demanding unfair trades or threatening raids. Prosperity becomes a political burden.",+9,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O4,stored the surplus in clay‑lined pits and smokehouses for future use.,Unique,"New storage pits preserve food through harsh seasons, giving the tribe long‑term security. For the first time, the people imagine a stable future.",Structural failures spoil a large portion of the preserved food. Shock and finger‑pointing spread as clans question the judgement behind the storage plan.,+8,-6,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O5,sent settlers to explore and expand into new and promising regions.,Unique,"Explorers return with tales of fertile valleys, rivers teeming with life, and new stone deposits. Their discoveries broaden the tribe’s vision of its destiny.","The distant lands prove treacherous, and many settlers never return. The losses shake the tribe’s confidence and cast a shadow over the boom.",+12,-10,5,-5
