EraID,EraNarrative,EventID,EventNarrative,EventDifficulty,OptionID,OptionText,OptionTag,PositiveOutcomeText,PositivePS_Change,NegativeOutcomeText,NegativePS_Change
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E1,"RESOURCE SHORTAGE - A vital resource like stone, clay, or early copper begins to run low, threatening stability.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Reinforced storage pits and new gathering trails stabilise supplies.,10,Collapsed pathways ruin food stores and fuel panic.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E1,"RESOURCE SHORTAGE - A vital resource like stone, clay, or early copper begins to run low, threatening stability.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Clans unite to share knowledge of overlooked deposits.,9,"Elders argue, fracturing trust.",-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E1,"RESOURCE SHORTAGE - A vital resource like stone, clay, or early copper begins to run low, threatening stability.",Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Scouts discover fresh flint and clay deposits.,11,"Team is lost or injured, causing fear.",-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E1,"RESOURCE SHORTAGE - A vital resource like stone, clay, or early copper begins to run low, threatening stability.",Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Intensive labour opens new quarries and routes.,8,Labour exhaustion ruins crops and tools.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E1,"RESOURCE SHORTAGE - A vital resource like stone, clay, or early copper begins to run low, threatening stability.",Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Clans innovate rationing and gathering methods.,7,Communities hoard supplies and distrust grows.,-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E2,CULTURAL SCHISM - Disagreements between clans over rituals or traditions create division.,Variable,O1,Invest in widespread infrastructure improvements.,Generic,Shared longhouses and kilns remind clans of unity.,10,Forced collaboration sparks sabotage.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E2,CULTURAL SCHISM - Disagreements between clans over rituals or traditions create division.,Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Peace gatherings and storytelling heal tensions.,9,Talks devolve into accusations.,-7
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E2,CULTURAL SCHISM - Disagreements between clans over rituals or traditions create division.,Variable,O3,Deploy specialised teams to analyse and mitigate the issue.,Generic,Symbol-stones representing unity gain acceptance.,11,"Team is rejected as biased, worsening conflict.",-9
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E2,CULTURAL SCHISM - Disagreements between clans over rituals or traditions create division.,Variable,O4,Redirect national resources to aggressively solve the problem.,Generic,Standardised rituals stabilise identity.,8,Authoritative enforcement sparks rebellion.,-10
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E2,CULTURAL SCHISM - Disagreements between clans over rituals or traditions create division.,Variable,O5,Allow local communities autonomy to handle the situation.,Generic,Clans embrace identity freely and gain mutual respect.,7,Differences solidify into lasting animosity.,-6
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E3,"ECONOMIC BOOM - A sudden abundance of flint, fertile land, or copper ore brings prosperity.",Variable,O1,Invest in widespread infrastructure improvements.,Generic,Granaries and forges turn the boom into long-term growth.,10,Mismanaged storage wastes prosperity.,-8
Stone-Bronze,"Your civilisation stands at the threshold between primitive survival and organised society, defined by stone tools, early metallurgy, clan identity, and fragile cooperation.",E3,"ECONOMIC BOOM - A sudden abundance of flint, fertile land, or copper ore brings prosperity.",Variable,O2,Open dialogue with affected groups to address concerns.,Generic,Fair distribution agreements maintain peace.,9,Resource ownership disputes erupt.,-7
