EraID,EraNarrative,EventID,EventNarrative,EventTag,OptionID,OptionText,OptionTag,PositiveOutcomeText,NegativeOutcomeText,PositivePS_Change,NegativePS_Change,PositiveStable_Change,NegativeStable_Change
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O1,held a Great Fire Gathering where all the clans of <CityName> voiced their beliefs. ,Unique,"At the Great Fire Gathering, the clans shared their stories and sacred songs. Old differences softened as the people recognised the shared roots beneath their customs, and warmth gradually softened long-standing tension.","The gathering quickly descended into shouting as old grievances resurfaced. Clans stormed away from the fire, and the unity meant to be strengthened instead fractured even further.",+9,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O2,"asked the shamans to conduct a spirit‑walk, seeking guidance from the all-fathers of <CityName>.",Unique,"The shamans returned from their spirit-walk with visions of the clan totems walking side by side. Their message of harmony reassured the people, restoring faith that the ancestors favoured unity over discord.","The shamans emerged with conflicting visions, each claiming a different clan was divinely favoured. Suspicion spread swiftly through <CityName>, deepening spiritual uncertainty and mistrust.",+10,-9,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O3,permitted each clan to freely embrace its customs without interference.,Unique,"With freedom to express their customs openly, the clans celebrated their songs, carvings, and rites. Curiosity replaced jealousy as traditions flourished peacefully in parallel.","The clans drifted further apart as their symbols and customs became barriers instead of bridges. Before long, families refused to share hunts or communal meals.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O4,"conducted a symbolic hunt requiring warriors from all clans to cooperate, in an effort to unite the clans.",Unique,"The unified hunting band succeeded, returning with abundant game. Their shared triumph became a legend retold around fires, renewing trust among the various clans.","The hunt ended in chaos when miscommunication caused injury and lost prey. The failure became a cautionary tale, embodying <CityName>’s fractured spirit.",+11,-10,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A wave of cultural renewal swept through the clans of <CityName>, inspiring new interpretations of traditions, rituals, and ancestral customs. The city’s unity grew stronger in some ways and more uncertain in others, depending on how these evolving practices were embraced.",Positive,O5,gave the youth of the different clans to form a cross‑clan learning circle.,Unique,"Young hunters and gatherers exchanged skills and formed friendships that crossed clan boundaries. Their unity stirred optimism among the elders, hinting at a more harmonious future.","A rebellion within <CityName> condemned the learning circle as a threat to tradition and forbade further participation. The youth grew resentful, widening the rift between generations and clans alike.",+7,-6,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O1,hosted a Festival of Plenty to share the abundance across all clans of <CityName>.,Unique,"The tribe feasted joyfully beneath torchlit skies, exchanging goods and stories that warmed old rivalries. The celebration transformed prosperity into unity, leaving the clans hopeful for the future of <CityName>.","The festival grew excessive, and accusations soon arose that some clans had contributed less or taken more. What should have united <CityName> instead stirred envy and bitterness.",+10,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O2,"asked the village smith to craft tools, ornaments, and trade goods from the surplus resources.",Unique,Stonecutters and carvers fashioned works of beauty and precision. Their craftsmanship elevated <CityName>’s identity and inspired pride across all clans.,"Craftsmen wasted rare resources chasing unproven designs, sparking disputes over ownership of the items. What began as creative ambition soon felt like mismanagement.",+11,-9,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O3,established a trading circle with neighbouring tribes to exchange goods and strengthen relations.,Unique,"Trade brought new dyes, hides, tools, and stories into <CityName>. This strengthened the <CityName>'s reputation as it became a valued partner in regional exchanges.","Rival tribes exploited <CityName>’s boom, demanding unfair trades and threatening raids. The blessing of abundance quickly turned into a political burden.",+9,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O4,stored the excess safely in clay-lined pits and smokehouses to secure <CityName>’s future needs.,Unique,"The new storage pits preserved food through difficult seasons, granting <CityName> long-term security. For the first time, the people imagined a stable and reliable future.",Structural failures destroyed a large portion of the preserved resources. Shock and finger-pointing spread as clans questioned the judgement behind the storage plan.,+8,-6,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"A sudden abundance of valuable resources uplifted <CityName>, opening doors to prosperity and shared opportunity. Yet with newfound wealth came choices about stewardship, equality, and how the bounty should shape the city’s future.",Positive,O5,sent a band of settlers carrying surplus supplies to explore and claim promising new lands.,Unique,"Explorers returned with tales of fertile valleys, rivers teeming with life, and rich stone deposits. Their discoveries broadened the tribe’s hope for expansion in the future.","The distant lands proved treacherous, and many settlers never returned. These losses shook the tribe’s confidence and cast a long shadow over thoughts on future expansion.",+12,-10,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E3,"A call for renewed leadership arose within <CityName>, as clans proposed fresh voices and new ideas for guiding the city’s path. This moment of transition offered hope for reform, though its success depended on unity and wisdom.",Positive,O1,organised a Clash of Clans to choose <CityName>’s leader through feats of strength.,Unique,"The Clash of Clans concluded with a clear victor whose strength won the respect of every challenger. The clans accepted the result with pride, and the new leader’s authority brought renewed stability to <CityName>.","The contest descended into brutal rivalries, with accusations of cheating and dishonour echoing through the arena. Instead of unity, the trial deepened old grudges and left the clans more divided than before.",+11,-10,1,-1
